"","Well","Sample_label","Sample_date","Ta","TaVRN2","VRN1","VRN3-3","deltaCT_VRN1","deltaCT_VRN2","deltaCT_VRN3"
"219","G1","BW",4,26.7473831176758,30.7897605895996,30.9398307800293,NA,4.19244766235352,4.04237747192383,NA
"220","G1","BW",10,25.9506301879883,31.8357124328613,NA,NA,NA,5.88508224487305,NA
"221","G2","BS",7,25.4512882232666,33.3221626281738,27.4398193359375,NA,1.9885311126709,7.87087440490723,NA
"222","G2","BW",1,27.3292789459229,32.8445777893066,33.9350357055664,NA,6.60575675964355,5.51529884338379,NA
"223","G2","BW",4,26.6438484191895,30.4680786132812,30.3532905578613,NA,3.70944213867188,3.8242301940918,NA
"224","G2","BW",10,25.9180927276611,32.1839485168457,NA,NA,NA,6.26585578918457,NA
"225","G3","BS",7,25.5299911499023,33.6185340881348,27.7002029418945,30.6606903076172,2.17021179199219,8.08854293823242,2.13069915771484
"226","G3","BW",1,27.1887454986572,NA,33.7384223937988,NA,6.5496768951416,NA,NA
"227","G3","BW",4,26.7956867218018,30.6692123413086,30.1153106689453,NA,3.31962394714355,3.87352561950684,NA
"228","G3","BW",10,25.9164505004883,31.6599159240723,NA,NA,NA,5.74346542358398,NA
"229","G4","BS",11,26.2651042938232,33.6999778747559,29.2916088104248,NA,3.02650451660156,7.43487358093262,NA
"230","G4","BW",2,25.4543151855469,NA,NA,NA,NA,NA,NA
"231","G4","BW",5,26.0128479003906,29.8453788757324,NA,NA,NA,3.8325309753418,NA
"232","G4","BW",8,25.3868083953857,30.213809967041,NA,NA,NA,4.82700157165527,NA
"233","G5","BS",11,26.2428646087646,NA,29.2225685119629,NA,2.97970390319824,NA,NA
"234","G5","BW",2,25.360710144043,30.2759075164795,NA,NA,NA,4.91519737243652,NA
"235","G5","BW",5,26.0608501434326,30.2069320678711,NA,NA,NA,4.14608192443848,NA
"236","G5","BW",8,25.4688568115234,30.4093551635742,NA,NA,NA,4.94049835205078,NA
"237","G6","BS",11,26.1518001556396,33.8156661987305,28.86669921875,33.1871719360352,2.71489906311035,7.66386604309082,4.03537178039551
"238","G6","BW",2,25.3974838256836,30.1774291992188,NA,NA,NA,4.77994537353516,NA
"239","G6","BW",5,26.0463752746582,30.0358963012695,NA,NA,NA,3.98952102661133,NA
"240","G6","BW",8,25.5460643768311,30.3193283081055,NA,NA,NA,4.77326393127441,NA
"241","G7","BS",6,25.9228916168213,33.955394744873,27.7127017974854,30.4046268463135,1.78981018066406,8.03250312805176,1.48173522949219
"242","G7","BW",3,26.7611465454102,32.8081932067871,NA,NA,NA,6.04704666137695,NA
"243","G7","BW",9,25.2249584197998,31.204776763916,NA,NA,NA,5.97981834411621,NA
"244","G7","BW",12,26.9242038726807,32.0316925048828,NA,NA,NA,5.10748863220215,NA
"245","G8","BS",6,25.8971252441406,32.9245834350586,27.6995258331299,30.6123600006104,1.80240058898926,7.02745819091797,1.71523475646973
"246","G8","BW",3,26.6618270874023,31.1843032836914,33.2888641357422,NA,6.62703704833984,4.52247619628906,NA
